islope(ns) ldcap(ff)  o_fall(ns) ldcap(ff)  o_fall(ns) ldcap(ff)  o_fall(ns) ldcap(ff)  o_fall(ns) ldcap(ff)  o_fall(ns) ldcap(ff)  o_fall(ns) ldcap(ff)  o_fall(ns) 
000.001000 000.020000 000.001403 001.250000 000.005842 002.500000 000.010398 005.000000 000.019523 011.000000 000.041386 021.000000 000.077866 042.000000 000.154334 
000.030000 000.020000 000.005529 001.250000 000.011320 002.500000 000.015568 005.000000 000.023420 011.000000 000.043962 021.000000 000.079575 042.000000 000.155014 
000.070000 000.020000 000.010268 001.250000 000.017607 002.500000 000.023493 005.000000 000.032430 011.000000 000.051375 021.000000 000.084648 042.000000 000.159182 
000.100000 000.020000 000.013330 001.250000 000.021748 002.500000 000.028197 005.000000 000.038725 011.000000 000.058422 021.000000 000.089880 042.000000 000.162749 
000.130000 000.020000 000.016093 001.250000 000.025842 002.500000 000.032435 005.000000 000.044206 011.000000 000.065205 021.000000 000.096467 042.000000 000.166741 
000.170000 000.020000 000.019491 001.250000 000.031125 002.500000 000.038006 005.000000 000.050603 011.000000 000.073628 021.000000 000.105770 042.000000 000.172999 
000.200000 000.020000 000.021850 001.250000 000.034905 002.500000 000.042169 005.000000 000.055023 011.000000 000.079801 021.000000 000.112736 042.000000 000.178741 
