islope(ns) ldcap(ff)  o_fall(ns) ldcap(ff)  o_fall(ns) ldcap(ff)  o_fall(ns) ldcap(ff)  o_fall(ns) ldcap(ff)  o_fall(ns) ldcap(ff)  o_fall(ns) ldcap(ff)  o_fall(ns) 
000.001000 000.020000 000.092839 001.250000 000.101331 002.500000 000.108620 005.000000 000.122503 011.000000 000.155316 021.000000 000.209756 042.000000 000.323898 
000.030000 000.020000 000.120318 001.250000 000.128859 002.500000 000.136134 005.000000 000.150022 011.000000 000.182823 021.000000 000.237428 042.000000 000.351490 
000.070000 000.020000 000.149458 001.250000 000.157982 002.500000 000.165260 005.000000 000.179143 011.000000 000.211937 021.000000 000.266364 042.000000 000.380493 
000.100000 000.020000 000.167405 001.250000 000.175935 002.500000 000.183219 005.000000 000.197102 011.000000 000.229894 021.000000 000.284323 042.000000 000.398441 
000.130000 000.020000 000.183673 001.250000 000.192210 002.500000 000.199491 005.000000 000.213377 011.000000 000.246166 021.000000 000.300588 042.000000 000.414698 
000.170000 000.020000 000.203025 001.250000 000.211591 002.500000 000.218859 005.000000 000.232746 011.000000 000.265536 021.000000 000.319957 042.000000 000.434059 
000.200000 000.020000 000.216389 001.250000 000.224945 002.500000 000.232231 005.000000 000.246112 011.000000 000.278899 021.000000 000.333311 042.000000 000.447416 
