islope(ns)  capa(fF)  setup(ps)  propagation(ns)  total(ns)
000.100000 000.020000 025.781250 000.085032 000.110813
000.100000 001.250000 025.781250 000.092396 000.118177
000.100000 002.500000 025.781250 000.098864 000.124645
000.100000 005.000000 025.781250 000.111463 000.137244
000.100000 011.000000 025.781250 000.141422 000.167203
000.100000 021.000000 025.781250 000.191183 000.216964
000.100000 042.000000 025.781250 000.295540 000.321321
