islope(ns) ldcap(ff)  o_fall(ns) ldcap(ff)  o_fall(ns) ldcap(ff)  o_fall(ns) ldcap(ff)  o_fall(ns) ldcap(ff)  o_fall(ns) ldcap(ff)  o_fall(ns) ldcap(ff)  o_fall(ns) 
000.001000 000.020000 000.048475 001.250000 000.055823 002.500000 000.062297 005.000000 000.074906 011.000000 000.104877 021.000000 000.154661 042.000000 000.259018 
000.030000 000.020000 000.068458 001.250000 000.075846 002.500000 000.082317 005.000000 000.094917 011.000000 000.124879 021.000000 000.174656 042.000000 000.279314 
000.070000 000.020000 000.084036 001.250000 000.091397 002.500000 000.097866 005.000000 000.110464 011.000000 000.140420 021.000000 000.190187 042.000000 000.294564 
000.100000 000.020000 000.092858 001.250000 000.100216 002.500000 000.106682 005.000000 000.119280 011.000000 000.149233 021.000000 000.198992 042.000000 000.303358 
000.130000 000.020000 000.100534 001.250000 000.107898 002.500000 000.114361 005.000000 000.126958 011.000000 000.156908 021.000000 000.206670 042.000000 000.311022 
000.170000 000.020000 000.109303 001.250000 000.116666 002.500000 000.123132 005.000000 000.135731 011.000000 000.165683 021.000000 000.215441 042.000000 000.319795 
000.200000 000.020000 000.114978 001.250000 000.122346 002.500000 000.128815 005.000000 000.141409 011.000000 000.171357 021.000000 000.221114 042.000000 000.325463 
