islope(ns) ldcap(ff)  o_fall(ns) ldcap(ff)  o_fall(ns) ldcap(ff)  o_fall(ns) ldcap(ff)  o_fall(ns) ldcap(ff)  o_fall(ns) ldcap(ff)  o_fall(ns) ldcap(ff)  o_fall(ns) 
000.001000 000.020000 000.003918 001.250000 000.010267 002.500000 000.016517 005.000000 000.028961 011.000000 000.058782 021.000000 000.108488 042.000000 000.212687 
000.030000 000.020000 000.015885 001.250000 000.029992 002.500000 000.039458 005.000000 000.054577 011.000000 000.086717 021.000000 000.137761 042.000000 000.242312 
000.070000 000.020000 000.024838 001.250000 000.046473 002.500000 000.060490 005.000000 000.081389 011.000000 000.119449 021.000000 000.173800 042.000000 000.281985 
000.100000 000.020000 000.029834 001.250000 000.056143 002.500000 000.072781 005.000000 000.097368 011.000000 000.140973 021.000000 000.198768 042.000000 000.309588 
000.130000 000.020000 000.034066 001.250000 000.064852 002.500000 000.083636 005.000000 000.111817 011.000000 000.160463 021.000000 000.222644 042.000000 000.336061 
000.170000 000.020000 000.038976 001.250000 000.075216 002.500000 000.096630 005.000000 000.128852 011.000000 000.183570 021.000000 000.252138 042.000000 000.369984 
000.200000 000.020000 000.042278 001.250000 000.082242 002.500000 000.105614 005.000000 000.140221 011.000000 000.199474 021.000000 000.272487 042.000000 000.394662 
